0,126.318069ms,1.759286713s,16.201035ms,1.823261456s,94.305642ms,151.064632ms,17.977831ms,124.261934ms,1.371488516s
1,358.614803ms,1.506377425s,57.298806ms,1.600917387s,89.146714ms,162.442847ms,18.257503ms,101.261234ms,1.135118385s
2,356.652072ms,1.424359295s,54.138075ms,1.513690497s,91.779115ms,166.709901ms,16.208958ms,96.088718ms,1.053429736s
3,573.08353ms,2.584089739s,53.301923ms,2.702061439s,114.567751ms,290.638506ms,26.140145ms,135.167789ms,2.017394681s
4,471.34788ms,3.382561236s,62.158868ms,3.532230021s,97.488926ms,544.427745ms,17.961623ms,156.474302ms,2.566057109s
5,523.332149ms,2.366060118s,56.795297ms,2.470351087s,102.605999ms,233.546114ms,37.211299ms,116.319165ms,1.876236892s
6,590.194401ms,2.251129292s,71.993361ms,2.375237578s,90.954109ms,278.607096ms,24.735659ms,124.858476ms,1.73183786s
7,652.965664ms,2.667497745s,84.187787ms,2.803492402s,71.961806ms,310.733414ms,39.062601ms,129.525532ms,2.116059565s
8,828.400223ms,4.144874797s,103.377902ms,4.35111854s,65.79334ms,714.007935ms,19.184776ms,243.162243ms,3.102564282s
9,736.100439ms,4.742971182s,88.720538ms,4.948877833s,68.385374ms,1.023331858s,19.229388ms,204.501791ms,3.427356862s
10,793.401905ms,2.436166533s,88.518847ms,2.572677379s,87.285963ms,361.715706ms,17.328947ms,123.783697ms,1.845894668s
11,789.076484ms,5.143463587s,82.55378ms,5.359150543s,81.16451ms,1.110803624s,17.720937ms,229.856959ms,3.703756012s
12,1.385538034s,6.72966241s,85.713119ms,6.972170193s,97.47861ms,1.138118726s,22.093148ms,255.662583ms,5.216148666s
13,1.831873292s,5.43413025s,117.676ms,5.618907131s,101.215044ms,612.138576ms,24.211872ms,165.831198ms,4.530562429s
14,1.859949929s,8.898090349s,79.593764ms,9.146499595s,105.780361ms,1.499790854s,17.921811ms,288.93199ms,6.985501873s
15,1.825363282s,4.350138448s,85.542432ms,4.505215976s,99.087369ms,487.874222ms,18.892592ms,192.206543ms,3.55190728s
16,1.265691352s,10.039078339s,77.245755ms,10.304811679s,108.605488ms,1.694742081s,24.007227ms,306.548551ms,7.905003919s
17,1.599497524s,3.96329163s,69.802361ms,4.099496144s,86.352509ms,523.517587ms,48.784781ms,149.651057ms,3.154827111s
18,1.376718306s,9.474661528s,70.236389ms,9.746295249s,107.99666ms,1.927232192s,22.425191ms,303.04949ms,7.113802853s
19,1.311046865s,4.608535123s,90.372337ms,4.763943795s,106.239326ms,620.942911ms,24.53339ms,133.55429ms,3.723131873s
20,1.538698234s,11.462222546s,90.969922ms,11.809096279s,112.245096ms,1.827002615s,21.192931ms,376.648927ms,9.124987053s
21,1.686906295s,4.710087074s,87.091675ms,4.867003488s,106.661678ms,536.612208ms,23.715313ms,181.740472ms,3.861204505s
22,1.386022252s,5.182871861s,78.021233ms,5.332650265s,115.44995ms,890.540238ms,29.12484ms,200.239299ms,3.947382911s
23,1.138396083s,12.560040333s,86.305363ms,12.92598795s,103.185913ms,2.602622098s,23.466472ms,394.831243ms,9.435779219s
24,1.311128367s,4.763530429s,76.300421ms,4.918768132s,97.653644ms,569.93857ms,23.961024ms,147.782035ms,3.924011449s
25,1.307171477s,4.830789867s,74.01863ms,4.979644283s,92.16522ms,630.354561ms,23.243409ms,177.139942ms,3.907732688s
26,1.416397533s,13.025689034s,84.026033ms,13.388717489s,154.270644ms,2.503440545s,23.569423ms,431.123788ms,9.91311094s
27,1.509610931s,5.793971924s,97.90098ms,5.975982527s,97.954416ms,686.661049ms,24.202983ms,227.629945ms,4.757383477s
28,1.475405242s,6.053532836s,88.770954ms,6.228237203s,97.32238ms,674.294766ms,33.573798ms,207.718577ms,5.040464204s
29,1.282994581s,12.952564982s,74.391462ms,13.337453577s,117.651356ms,2.545875114s,31.895437ms,435.955062ms,9.820987958s
30,1.33336765s,6.029551131s,92.437548ms,6.207083275s,91.976814ms,698.043616ms,29.440726ms,170.041674ms,5.039891995s
31,1.649200753s,14.302499777s,93.735688ms,14.73373312s,102.975773ms,2.804196645s,27.826353ms,458.992482ms,10.908320812s
32,2.720241097s,8.372236423s,172.104686ms,8.649629056s,129.835087ms,827.532594ms,30.907323ms,225.37913ms,7.158367033s
33,2.229702786s,8.856683596s,145.555685ms,9.109750631s,128.523764ms,978.553212ms,33.343101ms,230.622035ms,7.48545383s
34,1.805500266s,7.262948085s,111.641113ms,7.466339242s,115.853781ms,788.015645ms,23.675609ms,202.399593ms,6.1328442s
35,1.432621894s,14.074192364s,180.993756ms,14.604616394s,100.640868ms,2.80132289s,25.640419ms,457.921264ms,10.688503839s
36,1.625478622s,5.759448162s,83.482523ms,5.940713065s,87.038959ms,866.929013ms,49.789812ms,235.972454ms,4.519547144s
37,1.593268177s,5.673354765s,83.394756ms,5.853180387s,96.284635ms,921.125914ms,51.800821ms,190.743997ms,4.413262056s
